Species,Block,Street,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Tmax,Tmin,DewPoint,WetBulb,PrecipTotal,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month,Day
2,41,32,1,41.95469,-87.800991,9,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
2,41,32,1,41.95469,-87.800991,9,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
3,41,32,1,41.95469,-87.800991,9,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
3,41,32,1,41.95469,-87.800991,9,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
3,62,27,6,41.994991,-87.769279,9,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
3,62,27,6,41.994991,-87.769279,9,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
2,79,109,13,41.974089,-87.824812,8,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
2,79,109,13,41.974089,-87.824812,8,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
3,79,109,13,41.974089,-87.824812,8,4,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
3,79,109,13,41.974089,-87.824812,8,4,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
3,15,127,32,41.9216,-87.666455,8,2,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
3,15,127,32,41.9216,-87.666455,8,2,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
3,25,112,33,41.891118,-87.654491,8,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
3,25,112,33,41.891118,-87.654491,8,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
2,11,123,35,41.867108,-87.654224,8,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
2,11,123,35,41.867108,-87.654224,8,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
3,11,123,35,41.867108,-87.654224,8,2,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
3,11,123,35,41.867108,-87.654224,8,2,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
3,11,107,36,41.896282,-87.655232,8,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
3,11,107,36,41.896282,-87.655232,8,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
2,21,41,37,41.919343,-87.694259,8,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
2,21,41,37,41.919343,-87.694259,8,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
2,22,17,39,41.921965,-87.632085,8,2,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
2,22,17,39,41.921965,-87.632085,8,2,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
3,22,17,39,41.921965,-87.632085,8,3,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
3,22,17,39,41.921965,-87.632085,8,3,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
2,22,87,65,41.688324,-87.676709,8,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
2,22,87,65,41.688324,-87.676709,8,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
3,22,87,65,41.688324,-87.676709,8,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
3,22,87,65,41.688324,-87.676709,8,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
3,11,74,69,41.862292,-87.64886,8,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
3,11,74,69,41.862292,-87.64886,8,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
3,17,102,71,41.720848,-87.666014,9,3,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
3,17,102,71,41.720848,-87.666014,9,3,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
3,22,101,74,41.731922,-87.677512,8,5,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
3,22,101,74,41.731922,-87.677512,8,5,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
1,22,101,74,41.731922,-87.677512,8,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
1,22,101,74,41.731922,-87.677512,8,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
2,53,42,84,41.891126,-87.61156,5,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
2,53,42,84,41.891126,-87.61156,5,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
3,53,42,84,41.891126,-87.61156,5,2,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
3,53,42,84,41.891126,-87.61156,5,2,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
2,65,32,89,41.999129,-87.795585,8,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
2,65,32,89,41.999129,-87.795585,8,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
2,75,33,94,42.01743,-87.687769,8,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
2,75,33,94,42.01743,-87.687769,8,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
3,15,26,99,41.907645,-87.760886,8,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
3,15,26,99,41.907645,-87.760886,8,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
3,89,52,105,41.732984,-87.649642,8,1,0,88,60,58,65,0.0,30.11,5.8,18,6.5,2007,5,29
3,89,52,105,41.732984,-87.649642,8,1,0,88,65,59,66,0.0,30.09,5.8,16,7.4,2007,5,29
2,41,32,1,41.95469,-87.800991,9,3,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,41,32,1,41.95469,-87.800991,9,3,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,41,32,1,41.95469,-87.800991,9,5,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,41,32,1,41.95469,-87.800991,9,5,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
1,41,32,1,41.95469,-87.800991,9,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
1,41,32,1,41.95469,-87.800991,9,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,79,109,13,41.974089,-87.824812,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,79,109,13,41.974089,-87.824812,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,79,109,13,41.974089,-87.824812,8,2,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,79,109,13,41.974089,-87.824812,8,2,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,15,127,32,41.9216,-87.666455,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,15,127,32,41.9216,-87.666455,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,15,127,32,41.9216,-87.666455,8,2,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,15,127,32,41.9216,-87.666455,8,2,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
1,15,127,32,41.9216,-87.666455,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
1,15,127,32,41.9216,-87.666455,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,25,112,33,41.891118,-87.654491,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,25,112,33,41.891118,-87.654491,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,11,123,35,41.867108,-87.654224,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,11,123,35,41.867108,-87.654224,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,11,123,35,41.867108,-87.654224,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,11,123,35,41.867108,-87.654224,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
1,11,123,35,41.867108,-87.654224,8,2,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
1,11,123,35,41.867108,-87.654224,8,2,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,11,107,36,41.896282,-87.655232,8,2,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,11,107,36,41.896282,-87.655232,8,2,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,21,41,37,41.919343,-87.694259,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,21,41,37,41.919343,-87.694259,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,21,41,37,41.919343,-87.694259,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,21,41,37,41.919343,-87.694259,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,22,17,39,41.921965,-87.632085,8,3,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,22,17,39,41.921965,-87.632085,8,3,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,22,87,65,41.688324,-87.676709,8,4,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,22,87,65,41.688324,-87.676709,8,4,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,17,102,71,41.720848,-87.666014,9,2,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,17,102,71,41.720848,-87.666014,9,2,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,22,101,74,41.731922,-87.677512,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,22,101,74,41.731922,-87.677512,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,22,101,74,41.731922,-87.677512,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,22,101,74,41.731922,-87.677512,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
1,22,101,74,41.731922,-87.677512,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
1,22,101,74,41.731922,-87.677512,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,65,32,89,41.999129,-87.795585,8,2,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,65,32,89,41.999129,-87.795585,8,2,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,65,32,89,41.999129,-87.795585,8,9,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,65,32,89,41.999129,-87.795585,8,9,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,15,26,99,41.907645,-87.760886,8,3,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,15,26,99,41.907645,-87.760886,8,3,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,89,52,105,41.732984,-87.649642,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,89,52,105,41.732984,-87.649642,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,91,115,8,41.981964,-87.812827,8,2,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,91,115,8,41.981964,-87.812827,8,2,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,36,35,9,41.944869,-87.832763,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,36,35,9,41.944869,-87.832763,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,72,34,14,42.011601,-87.811506,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,72,34,14,42.011601,-87.811506,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,38,15,17,41.94983,-87.698457,9,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,38,15,17,41.94983,-87.698457,9,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,49,105,18,41.979243,-87.750938,9,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,49,105,18,41.979243,-87.750938,9,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,58,44,20,41.986921,-87.689778,9,2,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,58,44,20,41.986921,-87.689778,9,2,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,50,53,22,41.801498,-87.763416,9,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,50,53,22,41.801498,-87.763416,9,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,14,21,23,41.906638,-87.701431,9,3,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,14,21,23,41.906638,-87.701431,9,3,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,10,83,67,41.723195,-87.64997,5,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,10,83,67,41.723195,-87.64997,5,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,11,46,68,41.868077,-87.666901,9,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,11,46,68,41.868077,-87.666901,9,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,11,46,68,41.868077,-87.666901,9,7,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,11,46,68,41.868077,-87.666901,9,7,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,11,78,70,41.869216,-87.627561,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,11,78,70,41.869216,-87.627561,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,42,89,85,41.662014,-87.724608,8,2,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,42,89,85,41.662014,-87.724608,8,2,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,42,89,85,41.662014,-87.724608,8,4,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,42,89,85,41.662014,-87.724608,8,4,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
1,42,89,85,41.662014,-87.724608,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
1,42,89,85,41.662014,-87.724608,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,53,104,87,41.961743,-87.76007,9,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,53,104,87,41.961743,-87.76007,9,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,53,104,87,41.961743,-87.76007,9,2,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,53,104,87,41.961743,-87.76007,9,2,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,40,13,88,41.953067,-87.776792,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,40,13,88,41.953067,-87.776792,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,40,13,88,41.953067,-87.776792,8,3,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,40,13,88,41.953067,-87.776792,8,3,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,43,12,91,41.878114,-87.629798,3,3,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,43,12,91,41.878114,-87.629798,3,3,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,42,37,92,41.958271,-87.702575,9,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,42,37,92,41.958271,-87.702575,9,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,42,37,92,41.958271,-87.702575,9,2,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,42,37,92,41.958271,-87.702575,9,2,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,28,19,93,41.932094,-87.700117,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,28,19,93,41.932094,-87.700117,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,15,113,95,41.994469,-87.667736,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,15,113,95,41.994469,-87.667736,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,18,108,96,42.006858,-87.675919,9,2,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,18,108,96,42.006858,-87.675919,9,2,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
2,70,0,97,41.916265,-87.800515,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
2,70,0,97,41.916265,-87.800515,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,70,0,97,41.916265,-87.800515,8,10,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,70,0,97,41.916265,-87.800515,8,10,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,25,71,98,41.846075,-87.716277,9,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,25,71,98,41.846075,-87.716277,9,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
3,21,24,100,41.918705,-87.752329,8,1,0,64,47,48,51,0.42,29.79,5.2,5,7.6,2007,6,5
3,21,24,100,41.918705,-87.752329,8,1,0,63,51,47,52,0.27,29.78,6.2,3,8.1,2007,6,5
